,order,num_trees,repetition,assignment,hidden_dim,layers,accuracy
626,32,64,3,1,64,3,0.78125
627,32,64,3,1,128,3,0.765625
628,32,64,3,1,256,3,0.9375
629,32,64,3,1,512,3,1.0
630,32,64,3,2,32,3,0.640625
631,32,64,3,2,64,3,0.640625
632,32,64,3,2,128,3,0.71875
633,32,64,3,2,256,3,0.765625
634,32,64,3,2,512,3,1.0
635,32,64,3,3,32,3,0.671875
636,32,64,3,3,64,3,0.765625
637,32,64,3,3,128,3,0.90625
638,32,64,3,3,256,3,0.953125
639,32,64,3,3,512,3,1.0
640,64,4,0,0,32,3,1.0
641,64,4,0,0,64,3,1.0
642,64,4,0,0,128,3,1.0
643,64,4,0,0,256,3,1.0
644,64,4,0,0,512,3,1.0
645,64,4,0,1,32,3,1.0
646,64,4,0,1,64,3,1.0
647,64,4,0,1,128,3,1.0
648,64,4,0,1,256,3,1.0
649,64,4,0,1,512,3,1.0
650,64,4,0,2,32,3,1.0
651,64,4,0,2,64,3,1.0
652,64,4,0,2,128,3,1.0
653,64,4,0,2,256,3,1.0
654,64,4,0,2,512,3,1.0
655,64,4,0,3,32,3,1.0
656,64,4,0,3,64,3,1.0
657,64,4,0,3,128,3,1.0
658,64,4,0,3,256,3,1.0
659,64,4,0,3,512,3,1.0
660,64,4,1,0,32,3,1.0
661,64,4,1,0,64,3,1.0
662,64,4,1,0,128,3,1.0
663,64,4,1,0,256,3,1.0
664,64,4,1,0,512,3,1.0
665,64,4,1,1,32,3,1.0
666,64,4,1,1,64,3,1.0
667,64,4,1,1,128,3,1.0
668,64,4,1,1,256,3,1.0
669,64,4,1,1,512,3,1.0
670,64,4,1,2,32,3,1.0
671,64,4,1,2,64,3,1.0
672,64,4,1,2,128,3,1.0
673,64,4,1,2,256,3,1.0
674,64,4,1,2,512,3,1.0
675,64,4,1,3,32,3,0.75
676,64,4,1,3,64,3,0.75
677,64,4,1,3,128,3,1.0
678,64,4,1,3,256,3,1.0
679,64,4,1,3,512,3,1.0
680,64,4,2,0,32,3,1.0
681,64,4,2,0,64,3,1.0
682,64,4,2,0,128,3,1.0
683,64,4,2,0,256,3,1.0
684,64,4,2,0,512,3,1.0
685,64,4,2,1,32,3,1.0
686,64,4,2,1,64,3,1.0
687,64,4,2,1,128,3,1.0
688,64,4,2,1,256,3,1.0
689,64,4,2,1,512,3,1.0
690,64,4,2,2,32,3,1.0
691,64,4,2,2,64,3,1.0
692,64,4,2,2,128,3,1.0
693,64,4,2,2,256,3,1.0
694,64,4,2,2,512,3,1.0
695,64,4,2,3,32,3,1.0
